price,room_number,square_footage,floor,elevator,balcony,registered,distance
299000.0,4.0,115.0,1,0,1,1,0.744
305000.0,4.0,119.0,2,1,1,1,9.467
177000.0,3.5,91.0,2,0,1,1,3.726
300000.0,4.0,130.0,3,1,1,1,1.322
109000.0,4.0,63.0,1,0,1,1,8.963
170000.0,3.0,55.0,3,0,0,1,0.048
170000.0,4.0,96.0,0,0,1,1,1.575
170000.0,5.0,190.0,0,0,1,1,4.633
172000.0,3.0,59.0,2,1,0,1,2.065
109000.0,3.5,63.0,1,0,0,1,8.963
208000.0,4.0,96.0,5,1,1,1,0.998
165000.0,3.0,95.0,3,0,1,1,1.788
208000.0,4.0,90.0,5,1,1,1,0.998
109900.0,2.5,48.0,0,0,0,1,1.524
106918.0,2.5,49.0,0,1,1,0,1.37
216000.0,4.0,85.0,3,1,1,1,1.755
171500.0,3.5,123.0,1,0,1,1,3.541
308660.0,4.0,122.0,6,1,1,1,0.913
113000.0,3.0,74.0,15,1,1,1,3.378
230000.0,2.5,91.0,6,0,0,1,1.695
204000.0,3.0,91.0,3,1,1,1,8.568
89900.0,2.5,59.0,3,0,1,1,1.192
214000.0,3.0,80.0,2,0,1,1,0.381
300000.0,3.5,107.0,1,1,1,0,3.301
244900.0,4.0,81.0,1,0,1,1,0.589
199000.0,3.0,92.0,1,0,1,1,0.708
199000.0,3.0,71.0,1,1,1,1,1.674
298000.0,6.0,191.0,7,1,1,1,1.23
295000.0,4.0,117.0,2,0,1,1,3.301
255000.0,4.0,110.0,1,0,1,1,0.754
250000.0,3.0,99.0,0,0,1,1,1.985
250000.0,3.0,157.0,2,0,1,1,2.701
209000.0,3.0,76.0,2,0,1,1,0.381
295000.0,4.5,113.0,2,0,1,1,2.042
212000.0,3.0,80.0,2,0,1,1,0.381
250000.0,5.0,126.0,2,0,1,1,0.882
267500.0,4.0,110.0,0,1,1,1,2.024
250000.0,3.0,195.0,0,1,1,1,0.708
282366.0,4.0,104.0,4,1,1,1,1.881
279999.0,4.5,117.0,1,1,1,0,0.831
312000.0,4.0,121.0,1,1,1,1,2.024
63000.0,1.5,42.0,0,0,1,1,4.87
60300.0,1.5,40.0,3,0,1,0,10.139
330000.0,4.0,193.0,7,1,1,1,9.209
199000.0,3.0,76.0,4,1,1,1,0.141
374165.0,3.0,68.0,16,1,1,0,2.514
370000.0,5.0,155.0,2,0,1,1,1.448
74000.0,1.5,34.0,2,0,1,1,2.231
77000.0,1.5,45.0,3,0,1,1,2.004
440000.0,4.0,187.0,7,1,1,1,2.544
421000.0,4.0,106.0,9,1,1,1,0.203
245000.0,3.0,86.0,2,0,1,1,0.292
81000.0,3.0,57.0,1,0,1,0,11.588
180000.0,3.0,65.0,7,1,0,1,0.129
82500.0,1.5,33.0,2,1,0,1,0.804
85000.0,3.0,76.0,-1,0,0,1,3.184
241000.0,3.5,82.0,5,1,1,1,1.455
60000.0,0.5,23.0,7,1,1,1,0.141
189000.0,2.5,58.0,3,1,0,1,19.376
54500.0,1.5,38.0,0,0,0,1,1.314
59900.0,1.0,24.0,-1,0,0,1,2.107
250000.0,3.0,81.0,4,1,1,1,2.094
