id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
16274,135000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/banjica-2/6036462a18099530de5f5544,prodaja,stanovi,Beograd,Banjica,3,74,"etažno grejanje",NULL,1,2020,1,1,0,1,0
9946,133800,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/5e4d9a832731710c200ee749,prodaja,stanovi,"Novi Sad",Telep,3,113,"grejanje na gas",NULL,1,2020,1,1,0,1,0
9943,133500,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67dc2f273171136868b4bd,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,76,"grejanje na gas",NULL,1,2020,1,1,0,1,0
13743,132000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67dc30273171136868b4c0,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,75,"grejanje na gas",NULL,1,2020,1,1,0,0,0
9525,131330,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/610fb8021af744255a5ac22b,prodaja,stanovi,"Novi Sad","Stari Grad",2,50,"centralno grejanje",NULL,1,2020,1,1,0,1,0
13748,131300,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5f7dfa8040e5a15226124cfb,prodaja,stanovi,"Novi Sad","Stari Grad",5,51,"grejanje na gas",NULL,1,2020,1,1,0,0,0
4002,130810,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/61488e3cc9759d0cbb010071,prodaja,stanovi,"Novi Sad",Telep,3,67,"centralno grejanje",NULL,1,2020,1,1,0,1,0
13744,130190,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5eaad22f27317158631efaed,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,79,"grejanje na gas",NULL,1,2020,1,1,0,0,0
14481,129900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/619cb07cea9f6804f020f8ac,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,63,"centralno grejanje",NULL,1,2020,1,1,0,0,0
7777,129000,https://www.4zida.rs/prodaja/kuce/backa-topola/oglas/salas/609d94cc0096ee3bf73f8f4b,prodaja,kuce,"Bačka Topola","Bačka Topola",3,151,"grejanje na struju",NULL,1,2020,0,1,200,1,1
7788,129000,https://www.4zida.rs/prodaja/kuce/backa-topola/oglas/sencanski-put/60c7275b5c536a2ce166486d,prodaja,kuce,"Bačka Topola","Okolne lokacije",4,179,"etažno grejanje",NULL,1,2020,0,1,200,1,1
13746,127900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/petrovaradin/5f1ef264d799c6302955cf33,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,97,"etažno grejanje",NULL,1,2020,1,1,0,0,0
14487,124800,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/619cb07dea9f6804f020f8b0,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,63,"centralno grejanje",NULL,1,2020,1,1,0,0,0
17356,124700,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/klisa/5dcf0a3227317114dd79b3b3,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,93,"grejanje na gas",NULL,1,2020,0,1,0,0,0
603,124530,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/vidovdansko-naselje/602daa0b608860762724f859,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,93,"grejanje na gas",NULL,1,2020,1,1,0,0,0
13551,123200,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/606e355657c49978d4782aad,prodaja,stanovi,"Novi Sad",Detelinara,4.5,104,"centralno grejanje",NULL,1,2020,1,0,0,0,0
13952,123200,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/60ba0ca854689915d845e4e6,prodaja,stanovi,"Novi Sad","Stari Grad",4.5,104,"centralno grejanje",NULL,1,2020,1,1,0,1,0
10211,123161,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kajmakcalanska/605b3a602aedcf05156fa0a2,prodaja,stanovi,Beograd,Vračar,1.5,46,"centralno grejanje",NULL,1,2020,1,0,0,0,0
2847,121500,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/tosin-bunar/602e454e83a2a220bc7a9fe4,prodaja,stanovi,Beograd,"Novi Beograd",2,45,"centralno grejanje",NULL,1,2020,1,1,0,0,0
2854,121500,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/tosin-bunar/5f357782b11610049d368383,prodaja,stanovi,Beograd,"Novi Beograd",2,45,"centralno grejanje",NULL,1,2020,1,1,0,1,1
15686,120000,https://www.4zida.rs/prodaja/stanovi/nis/oglas/durlan/5ed0f1cf27317166127ad286,prodaja,stanovi,Niš,Pantelej,4,127,"grejanje na gas",NULL,1,2020,0,1,0,1,0
16022,120000,https://www.4zida.rs/prodaja/stanovi/nis/oglas/durlan/5ed10e2d2731710735037173,prodaja,stanovi,Niš,Pantelej,3,134,"grejanje na gas",NULL,1,2020,0,1,0,1,1
16143,120000,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/bubanj/61b114383d7f8757351d93e3,prodaja,stanovi,Kragujevac,Centar,3,214,NULL,NULL,1,2020,1,1,0,0,0
4081,117500,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/spens/6093214aee5fe21f364c299e,prodaja,stanovi,"Novi Sad","Stari Grad",3,55,"centralno grejanje",NULL,1,2020,1,1,0,0,0
2878,117000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dunavska/61952d283b29f839793c4088,prodaja,stanovi,Beograd,"Stari Grad opština",0.5,33,"centralno grejanje",NULL,1,2020,0,0,0,1,1
